title,vote_average,vote_count,release_date,revenue,runtime,budget,popularity,genres,n_ad_breaks,runtime_with_ads,scaled_popularity,children_scaled_popularity,adults_scaled_popularity,retirees_scaled_popularity
Haunted Mansion,6.8,217,2023-07-26,91000000,123,157800000,86.751,"['Fantasy', 'Comedy']",5,150.0,0.9811925625060492,0.9811926,0.9811926,0.7849541
Breakin',6.788,132,1984-01-10,38682707,90,1200000,13.911,"['Music', 'Comedy', 'Drama', 'Romance']",4,120.0,0.349542777400434,0.2796342,0.2796342,0.3495428
The Commuter,6.352,4119,2018-01-11,119942387,104,30000000,19.526,"['Action', 'Thriller', 'Mystery']",4,120.0,0.4888283824731511,0.293297,0.4888284,0.293297
All About Eve,8.1,1388,1950-10-06,8400000,139,1400000,20.409,['Drama'],5,150.0,0.5061041941731631,0.2024417,0.5061042,0.5061042
Lucas,6.645,196,1986-03-28,8200000,108,6000000,8.019,"['Comedy', 'Drama', 'Romance']",4,120.0,0.0940844180250836,0.0564507,0.0940844,0.0940844
The Burning Plain,6.578,397,2008-11-07,5642478,111,20000000,14.391,"['Drama', 'Romance', 'Crime']",4,120.0,0.3640487293870093,0.1456195,0.3640487,0.3640487
Ben-Hur,5.719,1573,2016-08-17,94061311,125,100000000,22.417,"['Action', 'History', 'Adventure', 'Drama']",5,150.0,0.5421185300772877,0.4336948,0.5421185,0.4336948
Made of Honor,6.446,1538,2008-04-30,106407672,101,40000000,16.646,"['Comedy', 'Romance']",4,120.0,0.4248249484113781,0.33986,0.4248249,0.4248249
Captain America: The Winter Soldier,7.671,17692,2014-03-20,714766572,136,170000000,31.482,"['Action', 'Adventure', 'Science Fiction']",5,150.0,0.6656061911681646,0.532485,0.6656062,0.2662425
Heavyweights,6.111,338,1995-02-17,17689177,100,10000000,14.036,"['Family', 'Comedy', 'Drama']",4,120.0,0.3533808623624662,0.2827047,0.2827047,0.3533809
Quo Vadis,7.078,359,1951-11-08,21037000,171,7623000,14.062,"['Drama', 'History', 'Romance']",6,210.0,0.3541737363296444,0.1416695,0.3541737,0.3541737
The Birdcage,7.029,1010,1996-03-08,185260553,119,31000000,18.018,['Comedy'],4,150.0,0.45692398269289,0.456924,0.456924,0.456924
GoodFellas,8.464,11726,1990-09-12,46835000,145,25000000,83.57,"['Drama', 'Crime']",5,180.0,0.9707480970758486,0.3882992,0.9707481,0.9707481
Project X,6.303,233,1987-04-17,18532286,108,18000000,14.822,"['Drama', 'Comedy']",4,120.0,0.3765604895477265,0.3012484,0.3765605,0.3765605
One Day,7.417,3910,2011-03-02,59389433,107,15000000,22.97,"['Drama', 'Romance']",4,120.0,0.5513313162834852,0.2205325,0.5513313,0.5513313
Red State,6.1,860,2011-08-19,1104682,88,4000000,15.019,"['Horror', 'Action', 'Thriller']",3,90.0,0.3821267553791935,0.2292761,0.3821268,0.1528507
The Craft: Legacy,6.193,703,2020-10-28,2300000,94,18000000,23.708,"['Horror', 'Drama', 'Fantasy']",4,120.0,0.5632024620961009,0.3379215,0.5632025,0.3379215
L.I.E.,6.662,102,2001-01-20,1667192,97,700000,9.485,"['Drama', 'Crime']",4,120.0,0.176126135216115,0.0704505,0.1761261,0.1761261
xXx,5.917,3868,2002-08-09,277448382,124,70000000,32.692,"['Action', 'Adventure', 'Thriller']",5,150.0,0.6786991357782592,0.5429593,0.6786991,0.2714797
K-19: The Widowmaker,6.478,898,2002-07-19,35168966,138,100000000,14.457,"['Drama', 'History', 'War', 'Thriller', 'Mystery']",5,150.0,0.3659952706872451,0.1463981,0.2927962,0.2927962
Midnight Run,7.183,957,1988-07-20,38413606,126,30000000,12.119,"['Crime', 'Comedy', 'Action', 'Adventure']",5,150.0,0.2891840487190851,0.2313472,0.289184,0.2313472
The NeverEnding Story,7.197,3698,1984-04-06,20158808,102,27000000,29.369,"['Adventure', 'Fantasy', 'Family', 'Drama']",4,120.0,0.6411732877569113,0.5129386,0.5129386,0.384704
In Time,6.953,10556,2011-10-27,173930596,109,40000000,67.242,"['Action', 'Thriller', 'Science Fiction']",4,120.0,0.9083405629330228,0.5450043,0.9083406,0.3633362
Mr. Deeds,5.839,2064,2002-06-28,171269535,96,50000000,20.406,"['Comedy', 'Romance']",4,120.0,0.5060470987986004,0.4048377,0.5060471,0.5060471
Geronimo: An American Legend,6.3,226,1993-12-10,18635620,115,35000000,13.43,"['Western', 'History', 'Action']",4,120.0,0.3343549169685527,0.200613,0.2674839,0.2674839
Harry Potter and the Order of the Phoenix,7.686,18177,2007-07-08,938212738,138,150000000,117.168,"['Adventure', 'Fantasy']",5,150.0,1.0,1.0,1.0,0.4
Shazam! Fury of the Gods,6.662,2416,2023-03-15,133437105,130,125000000,143.169,"['Comedy', 'Action', 'Fantasy']",5,150.0,1.0,1.0,1.0,0.6
Faster,6.316,1746,2010-11-23,23081726,98,24000000,23.945,"['Crime', 'Drama', 'Action', 'Thriller']",4,120.0,0.5669170054746762,0.3401502,0.566917,0.4535336
Endless Love,6.893,1607,2014-02-12,34077920,103,20000000,14.042,"['Drama', 'Romance']",4,120.0,0.353563998601406,0.1414256,0.353564,0.353564
Legally Blonde,6.749,3615,2001-07-13,141774679,96,18000000,27.111,"['Comedy', 'Romance']",4,120.0,0.612523362659146,0.4900187,0.6125234,0.6125234
Pink Floyd: The Wall,7.986,1349,1982-07-14,22244207,95,12000000,13.293,"['Music', 'Drama']",4,120.0,0.3299022162365173,0.2639218,0.2639218,0.3299022
Something's Gotta Give,6.614,1449,2003-12-12,266728738,128,80000000,17.355,"['Drama', 'Comedy', 'Romance']",5,150.0,0.4418126568918444,0.2650876,0.4418127,0.4418127
A Thousand Words,6.091,1228,2012-03-07,22044277,91,40000000,18.438,"['Drama', 'Comedy']",4,120.0,0.4661386422895841,0.3729109,0.4661386,0.4661386
This Is England,7.5,1128,2006-09-12,8176544,101,2380000,3.962,"['Drama', 'Crime']",4,120.0,1e-06,4e-07,1e-06,1e-06
Blood Work,6.156,712,2002-08-09,31794718,110,50000000,14.042,"['Thriller', 'Crime']",4,120.0,0.353563998601406,0.1414256,0.353564,0.2828512
Curse of Chucky,5.847,1412,2013-10-08,3800000,97,5000000,27.101,"['Horror', 'Thriller']",4,120.0,0.612389937969122,0.244956,0.6123899,0.244956
Snake Eyes: G.I. Joe Origins,6.538,1397,2021-07-22,36964325,121,88000000,46.458,"['Action', 'Adventure']",5,150.0,0.7952742834422171,0.7952743,0.7952743,0.3181097
The Pick-up Artist,5.656,173,1987-09-18,13290368,81,15000000,8.059,"['Romance', 'Comedy', 'Crime']",3,90.0,0.0965720057000738,0.0579432,0.096572,0.096572
Quick Change,6.68,320,1990-07-13,15260154,89,15000000,11.959,"['Comedy', 'Crime']",3,90.0,0.2832465497640979,0.2265972,0.2832465,0.2832465
"The Cook, the Thief, His Wife & Her Lover",7.354,549,1989-10-13,7724701,124,2300000,20.697,"['Crime', 'Drama']",5,150.0,0.5115367773821373,0.2046147,0.5115368,0.5115368
Repo Man,6.674,529,1984-02-20,2300000,92,1500000,11.471,"['Comedy', 'Science Fiction']",4,120.0,0.2644931873767753,0.2115945,0.2644932,0.2115945
The Fury,6.284,319,1978-03-10,24000000,118,5500000,11.252,"['Horror', 'Science Fiction', 'Thriller']",4,150.0,0.2557434890927225,0.1022974,0.2557435,0.1022974
Jumanji: The Next Level,6.931,7932,2019-12-04,801693929,123,125000000,38.772,"['Adventure', 'Comedy', 'Fantasy']",5,150.0,0.7364713802948881,0.7364714,0.7364714,0.4418828
Blood and Wine,5.7,146,1996-10-03,1094668,101,26000000,10.964,"['Crime', 'Thriller']",4,120.0,0.2439006405647369,0.0975603,0.2439006,0.1951205
Lock Up,6.795,1080,1989-08-04,22099847,115,24000000,21.151,"['Action', 'Crime']",4,120.0,0.5199106673793199,0.4159285,0.5199107,0.4159285
Win Win,6.822,446,2011-03-18,10654385,106,10831173,7.657,"['Drama', 'Comedy']",4,120.0,0.0708223240718861,0.0566579,0.0708223,0.0708223
Sinister,6.868,5008,2012-03-29,82515113,110,3000000,38.624,"['Horror', 'Thriller', 'Mystery']",4,120.0,0.7352012042500902,0.2940805,0.7352012,0.4411207
Blood Simple,7.256,1244,1984-09-07,4229114,97,1500000,16.161,"['Crime', 'Drama', 'Thriller']",4,120.0,0.4126687405858664,0.1650675,0.4126687,0.330135
Weekend at Bernie's II,5.035,260,1993-07-09,12741891,97,7000000,11.48,['Comedy'],4,120.0,0.2648481998435588,0.2648482,0.2648482,0.2648482
Sherlock Holmes: A Game of Shadows,7.13,9742,2011-11-22,334615000,129,125000000,31.501,"['Adventure', 'Action', 'Crime', 'Mystery']",5,150.0,0.6658165796950765,0.5326533,0.6658166,0.5326533
Baby Mama,5.954,614,2008-04-25,64444713,99,30000000,8.574,['Comedy'],4,120.0,0.1272499250576207,0.1272499,0.1272499,0.1272499
Seven Pounds,7.613,6362,2008-12-18,168167691,123,55000000,32.144,['Drama'],5,150.0,0.6728451731452602,0.2691381,0.6728452,0.6728452
The Covenant,5.525,916,2006-09-08,37597471,97,20000000,15.578,"['Fantasy', 'Horror', 'Adventure', 'Action']",4,120.0,0.3974308696261012,0.3179447,0.3974309,0.1589723
How to Train Your Dragon: The Hidden World,7.761,5817,2019-01-03,524580592,104,129000000,61.84,"['Animation', 'Family', 'Adventure']",4,120.0,0.8835237420822625,0.8835237,0.3534095,0.3534095
Chicken Run,6.758,4494,2000-06-23,224834564,84,45000000,36.884,"['Animation', 'Comedy', 'Family']",3,90.0,0.719802482609606,0.7198025,0.4318815,0.575842
Prisoners,8.091,10748,2013-09-19,122126687,153,46000000,35.085,"['Drama', 'Thriller', 'Crime']",6,180.0,0.702908855004122,0.2811635,0.7029089,0.5623271
Henry V,7.214,330,1989-10-05,10176701,137,9000000,13.76,"['War', 'Drama', 'History']",5,150.0,0.3448475739270415,0.137939,0.2758781,0.3448476
Final Destination 5,6.093,3096,2011-08-12,157887643,92,47000000,37.981,"['Horror', 'Mystery']",4,120.0,0.7296122931628783,0.2918449,0.7296123,0.5836898
Police Academy 3: Back in Training,5.765,1099,1986-03-20,107600000,84,12000000,25.909,"['Comedy', 'Crime']",3,90.0,0.5960310612283373,0.4768248,0.5960311,0.5960311
An Ideal Husband,6.408,169,1999-04-15,18535191,97,14000000,11.745,"['Drama', 'Comedy', 'Romance']",4,120.0,0.2751450571526919,0.165087,0.2751451,0.2751451
Galaxina,3.929,56,1980-06-06,4865000,95,5500000,12.926,"['Comedy', 'Science Fiction']",4,120.0,0.3176810483768869,0.2541448,0.317681,0.2541448
Where the Heart Is,7.13,640,2000-04-27,33771174,120,15000000,15.871,"['Comedy', 'Drama', 'Romance']",5,150.0,0.4051775241894507,0.2431065,0.4051775,0.4051775
Judgment at Nuremberg,8.053,678,1961-12-18,10000000,179,3000000,22.164,['Drama'],6,210.0,0.5378081890959309,0.2151233,0.5378082,0.5378082
The Cabin in the Woods,6.608,7288,2012-04-12,71041255,95,30000000,38.675,"['Horror', 'Fantasy']",4,120.0,0.735639576578747,0.5885117,0.7356396,0.2942558
Murphy's Romance,6.069,58,1985-12-25,30867525,107,13000000,5.275,"['Comedy', 'Drama', 'Romance']",4,120.0,1e-06,6e-07,1e-06,1e-06
Savage Grace,5.658,171,2007-05-18,1432799,97,4600000,20.944,['Drama'],4,120.0,0.5161208882506232,0.2064484,0.5161209,0.5161209
Desperate Measures,5.878,241,1998-01-30,13800000,100,50000000,14.034,"['Action', 'Drama', 'Thriller']",4,120.0,0.3533197948727448,0.2119919,0.3533198,0.2119919
Men in Black: International,5.937,4478,2019-06-12,253890701,115,110000000,24.845,"['Comedy', 'Science Fiction', 'Action']",4,120.0,0.5806151164796707,0.4644921,0.5806151,0.3483691
Phat Girlz,4.836,55,2006-04-07,7301115,99,3000000,7.234,"['Comedy', 'Romance']",4,120.0,0.0417834879397614,0.0334268,0.0417835,0.0417835
Freaky Friday,6.462,3482,2003-08-05,160846332,97,26000000,33.708,"['Comedy', 'Family', 'Fantasy']",4,120.0,0.6892374552075545,0.6892375,0.55139,0.55139
Hoosiers,7.063,435,1986-11-14,28607524,114,9000000,13.659,"['Drama', 'Family']",4,120.0,0.3416704103056232,0.2733363,0.2733363,0.3416704
Ricki and the Flash,5.79,673,2015-07-10,41325328,100,18000000,9.179,"['Comedy', 'Drama', 'Music']",4,120.0,0.1604046656121741,0.1283237,0.1283237,0.1604047
Rambo: Last Blood,6.521,3535,2019-09-19,91490353,89,50000000,46.016,"['Action', 'Thriller', 'Drama']",3,90.0,0.7922264394950181,0.4753359,0.7922264,0.4753359
Point Blank,7.012,333,1967-08-30,3200000,92,2500000,11.324,"['Crime', 'Thriller']",4,120.0,0.2586438916990362,0.1034576,0.2586439,0.2069151
The Sure Thing,6.524,249,1985-03-01,18135531,100,4500000,11.129,"['Comedy', 'Romance']",4,120.0,0.250733460244433,0.2005868,0.2507335,0.2507335
First Man,7.045,4896,2018-10-10,105713218,141,70000000,25.21,"['History', 'Drama']",5,180.0,0.585994871263127,0.2343979,0.5859949,0.5859949
The Social Network,7.358,11190,2010-10-01,224920315,121,40000000,36.101,['Drama'],5,150.0,0.7125776087393714,0.285031,0.7125776,0.7125776
Alpha and Omega,5.933,479,2010-09-16,50500000,88,20000000,11.765,"['Animation', 'Family', 'Comedy', 'Adventure', 'Romance']",3,90.0,0.2759101449971401,0.2207281,0.2207281,0.2207281
Body Double,6.733,690,1984-10-25,8801940,114,10000000,20.662,"['Crime', 'Mystery', 'Thriller']",4,120.0,0.5108816512373288,0.2043527,0.5108817,0.4087053
The World Is Not Enough,6.265,2644,1999-11-17,361832400,128,135000000,23.308,"['Adventure', 'Action', 'Thriller']",5,150.0,0.5568266066235337,0.4454613,0.5568266,0.2227306
The Virgin Suicides,7.086,2887,1999-12-31,10409377,97,6000000,22.406,"['Drama', 'Romance']",4,120.0,0.5419323938083259,0.216773,0.5419324,0.5419324
Fahrenheit 9/11,7.079,1301,2004-06-25,222446882,123,6000000,13.982,['Documentary'],5,150.0,0.3517281529699891,0.1406913,0.1406913,0.3517282
"Paris, Texas",8.093,1544,1984-08-23,2181987,145,1746964,17.248,['Drama'],5,180.0,0.4393056172167376,0.1757222,0.4393056,0.4393056
My Life in Ruins,6.131,373,2009-06-05,20455276,95,17000000,14.471,"['Comedy', 'Romance']",4,120.0,0.3664067249769447,0.2931254,0.3664067,0.3664067
UglyDolls,6.659,406,2019-05-01,32450241,87,45000000,13.811,"['Family', 'Animation', 'Music']",3,90.0,0.3464406557645739,0.3464407,0.1385763,0.1385763
Superman II,6.731,2069,1980-12-04,190458706,127,54000000,23.873,"['Science Fiction', 'Action', 'Adventure']",5,150.0,0.565793416515217,0.4526347,0.5657934,0.2263174
City by the Sea,5.743,313,2002-09-06,22433915,108,40000000,15.245,"['Crime', 'Drama', 'Mystery']",4,120.0,0.3883996056200492,0.1553598,0.3883996,0.3883996
Money Train,5.836,689,1995-11-21,77224232,110,68000000,17.879,"['Action', 'Comedy', 'Crime']",4,120.0,0.4538145595256662,0.3630516,0.4538146,0.3630516
Daddy Day Care,5.895,1965,2003-05-09,164433867,92,60000000,21.538,"['Comedy', 'Family']",4,120.0,0.526872592102802,0.5268726,0.4214981,0.5268726
Shame,6.953,2916,2011-10-02,3909002,102,6500000,24.812,['Drama'],4,120.0,0.5801238656618657,0.2320495,0.5801239,0.5801239
The Man Who Knew Too Little,6.321,434,1997-11-14,13801755,97,20000000,10.573,"['Comedy', 'Thriller', 'Crime', 'Action']",4,120.0,0.2271713445974462,0.1817371,0.2271713,0.1817371
Young Adult,5.796,1135,2011-11-11,22939027,94,12000000,14.636,"['Comedy', 'Drama']",4,120.0,0.3712183021593196,0.2969746,0.3712183,0.3712183
Breathless,5.8,215,1983-05-13,19910002,100,7500000,13.008,"['Romance', 'Drama', 'Action']",4,120.0,0.320449615814376,0.1922698,0.3204496,0.2563597
The 355,6.139,859,2022-01-05,55700000,122,75000000,29.949,"['Action', 'Thriller']",5,150.0,0.6480922606631594,0.5184738,0.6480923,0.2592369
The Last House on the Left,6.468,1595,2009-03-13,32721635,110,15000000,22.434,"['Crime', 'Thriller', 'Horror', 'Drama']",4,120.0,0.5424059702332483,0.2169624,0.542406,0.4339248
Maverick,6.861,1444,1994-05-20,183031272,127,75000000,15.014,"['Action', 'Adventure', 'Comedy', 'Drama', 'Western']",5,150.0,0.3819866258078547,0.3055893,0.3055893,0.3055893
The Fighting Temptations,5.729,120,2003-09-17,30238577,122,15000000,12.464,"['Comedy', 'Music', 'Romance']",5,150.0,0.3016537951352642,0.241323,0.241323,0.3016538
One Direction: This Is Us,8.329,988,2013-08-29,68500000,92,10000000,9.486,"['Documentary', 'Music']",4,120.0,0.1761764443487724,0.1409412,0.0704706,0.1761764
Smallfoot,6.791,1413,2018-09-20,214115531,96,80000000,13.65,"['Family', 'Animation', 'Adventure', 'Fantasy']",4,120.0,0.3413858498175744,0.3413858,0.2048315,0.1365543
Porky's Revenge,5.385,208,1985-03-22,20518905,92,9000000,11.642,['Comedy'],4,120.0,0.2711783935535938,0.2711784,0.2711784,0.2711784
